"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
49,"NCT05501210","Vibration on Patellofemoral Joint Pain After ACLR",,"Recruiting","No Results Available","Anterior Cruciate Ligament Injuries|Anterior Cruciate Ligament Rupture|Anterior Cruciate Ligament Tear|Patellofemoral Pain","Device: WBV|Device: PEMF","Change of The Knee injury and Osteoarthritis Outcome Score Patellofemoral subscale (KOOS-PF)|Isokinetic muscle strength|Muscle thickness|The Numeric Pain Rating Scale (NPRS)","Chinese University of Hong Kong","All","18 Years to 60 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020.674","March 1, 2022","March 1, 2024","June 1, 2024","August 15, 2022",,"August 15, 2022","The Chinese University of Hong Kong, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT05501210"
50,"NCT05501197","Effects of Different Telerehabilitation Methods on Pain, Functional Limitation, Muscle Strength, Balance, and Quality of Life in Patients With Meniscus Degeneration",,"Not yet recruiting","No Results Available","Meniscus; Degeneration","Other: Exercise Therapy via video conference|Other: Exercise Therapy via mobile application","The Lysholm score|Visual analogue scale (VAS)|12-Item Short Form Survey (SF-12)|30 Seconds Sit To Stand Test|2 Minute Walk Test|Quadriceps and Hamstring Muscle Strength","Marmara University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","09.2022.602/2","August 8, 2022","December 27, 2022","April 15, 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501197"
51,"NCT05501184","SYNCHRONOUS AND ASYNCHRONOUS TELEREHABILITATION METHODS IN PATIENTS WITH CERVICAL DISC HERNIATION",,"Completed","No Results Available","Cervical Disc Herniation","Other: Synchronous Exercise Program|Other: Asynchronous Exercise Program","Numerical Pain Rating Scale (NPRS)|Neck Disability Index (NDI)|Tampa Scale of Kinesiophobia (TSK)|Cervical Mobility|Short Form-36 (SF-36)","Marmara University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","26.05.2022/67","February 1, 2022","July 15, 2022","August 11, 2022","August 15, 2022",,"August 15, 2022","Marmara University, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT05501184"
52,"NCT05501171","Psychological Mobile App for Patients With AML",,"Not yet recruiting","No Results Available","AML|Acute Myeloid Leukemia","Behavioral: DREAMLAND|Behavioral: CERENA","Anxiety Symptoms|Depression Symptoms|Quality of Life in Patients with Leukemia|Symptom Burden|Post-Traumatic Stress Disorder (PTSD) Symptoms","Massachusetts General Hospital|Blue Note Therapeutics","All","18 Years and older   (Adult, Older Adult)","Not Applicable","180","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Investigator)|Primary Purpose: Supportive Care","22-257","October 2022","July 1, 2026","July 1, 2027","August 15, 2022",,"August 15, 2022","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT05501171"
53,"NCT05501158","CYP2D6 Genotypes and Breast Cancer Clinical Outcomes in the Indonesian Population",,"Active, not recruiting","No Results Available","Breast Cancer","Drug: Tamoxifen","Overall Survival rate|Progression Survival rate","Nalagenetics Pte Ltd|SJH Initiatives|Fakultas Farmasi Universitas Indonesia|MRCCC Siloam Hospitals Semanggi","Female","Child, Adult, Older Adult","Not Applicable","150","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ID-TMS-02-20201012","January 1, 2021","April 30, 2024","June 30, 2024","August 15, 2022",,"August 15, 2022","MRCCC Siloam Hospitals Semanggi, Jakarta, DKI Jakarta, Indonesia",,"https://ClinicalTrials.gov/show/NCT05501158"
54,"NCT05501145","Clinical Features, Outcomes, and Therapeutics of Pregnancy-Related Aortic Dissection",,"Completed","No Results Available","Aortic Dissection|Pregnancy Related","Procedure: cesarean section and aortic repair","30-day mortality","Nanjing Medical University|Beijing Anzhen Hospital|Shanghai Zhongshan Hospital|Guangdong Province Hospital","Female","18 Years to 45 Years   (Adult)",,"75","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","5A Plan VII","January 1, 2022","July 31, 2022","July 31, 2022","August 15, 2022",,"August 15, 2022","Beijing Anzhen Hospital, Beijing, China|Department of Obstetrics and Gynecology, Guangdong Provincial People's Hospital, Guangzhou, China|Department of Cardiac Surgery, Affiliated Hospital of Qingdao University, Qingdao, China|Department of Obstetrics and Gynecology, Zhongshan Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05501145"
55,"NCT05501132","Efficacy of Transcranial Direct Current Stimulation in Obsessive-compulsive Disorder",,"Completed","No Results Available","Obsessive-Compulsive Symptom","Device: transcranial direct current stimulation","Yale-Brown Obsessive-Compulsive (Y-BOCS) rating scale|Beck Anxiety Questionnaire (BAI)|Response inhibition task|Working memory task|Beck Depression Questionnaire (BDI-II)|Quality of Life Questionnaire (WHOQUL)|electroencephalogram (EEG) power spectrum","The National Brain Mapping Laboratory (NBML)|Ardabil University of Medical Sciences|Leibniz Research Centre for Working Environment and Human Factors","All","18 Years to 50 Years   (Adult)","Phase 1","37","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IR.ARUMS.REC.1399.102","August 1, 2020","June 1, 2021","February 25, 2022","August 15, 2022",,"August 15, 2022","Ardabil University of Medical Sciences, Ardabīl, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT05501132"
56,"NCT05501119","SUPPORT-D Intervention for Persons With Alzheimer's Disease and Their Caregivers.",,"Not yet recruiting","No Results Available","Alzheimer Disease","Behavioral: A Program of SUPPORT-D (dementia)","Change in Alzheimer's Disease Knowledge Scale (ADKS) score|Acceptability of Intervention Measure (AIM) score|Change in feasibility score|Change Zarit caregiver burden score|Change in Perceived Stress scale score|Change in Symptom burden physical function score|Change in Symptom burden anxiety score|Change in Symptom burden depression score|Change in Symptom burden fatigue score|Change in Symptom burden sleep quality score|Change in Symptom burden satisfaction with social role score|Change in Symptom burden pain score|Change in Quality of life-Alzheimer's Disease (QoL-AD) score|Change in self-efficacy for caregiving score|Change in Safety assessment scale score|Change in technology literacy score|Number of participants completing advance care planning documents|Appropriateness of Intervention score","Medical University of South Carolina|National Center for Advancing Translational Science (NCATS)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","Pro00120938|KL2TR001452|UL1TR001450","August 15, 2022","December 30, 2022","January 31, 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501119"
57,"NCT05501106","Reducing Postpartum Hemorrhage After Vaginal Delivery",,"Not yet recruiting","No Results Available","Postpartum Hemorrhage|Vaginal Delivery","Other: Integrated Improvement strategies","Rate of postpartum hemorrhage after vaginal delivery|Rate of consequent adverse outcomes|Rate of adherence to essential clinical practices|Acceptability to the interventions","Peking University Third Hospital|Shandong Provincial Hospital|Chongqing Health Center for Women and Children|Tianjin Central Hospital of Gynecology Obstetrics|Fujian Provincial Maternity and Children's Hospital","Female","18 Years to 49 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","PKUTH22-08-09","September 1, 2022","August 31, 2024","December 31, 2024","August 15, 2022",,"August 15, 2022","Peking University Third Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT05501106"
58,"NCT05501093","Diabetes Reversal and the Subgingival Microbiota",,"Recruiting","No Results Available","Diabetes type2|Bariatric Surgery Candidate","Other: sample collection","Bacterial composition|Bacterial mRNA profiling","University of Pennsylvania|National Institute of Dental and Craniofacial Research (NIDCR)|Temple University|Ohio State University","All","25 Years to 65 Years   (Adult, Older Adult)",,"234","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","825975|1R01DE026603-01A1","March 11, 2019","December 31, 2022","June 30, 2023","August 15, 2022",,"August 15, 2022","Temple University, Philadelphia, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT05501093"
59,"NCT05501080","The Effect of SAAE on Ventricular Remodeling in PA Patients",,"Not yet recruiting","No Results Available","Primary Aldosteronism","Other: Super selective adrenal artery embolization|Drug: Spironolactone","LVMI|LVH|ABPM|Biochemical indicators","Second Affiliated Hospital of Nanchang University","All","18 Years to 60 Years   (Adult)","Not Applicable","112","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT-2022-073","September 1, 2022","September 1, 2025","December 31, 2025","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501080"
60,"NCT05501067","Tai Chi Exercise on Hand Grip Strength and Functional Fitness Among Elderly Post COVID",,"Recruiting","No Results Available","Post Covid","Other: tai chi exercise|Other: regular aerobic exercise training","hand grip strength|functional fitness","Beni-Suef University","All","60 Years to 80 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Elderly Post Covid","August 10, 2022","November 30, 2022","February 28, 2023","August 15, 2022",,"August 15, 2022","National Institute For Longevity Elderly Sciences, Banī Suwayf, Egypt",,"https://ClinicalTrials.gov/show/NCT05501067"
61,"NCT05501054","Phase 1b/2 Trial of Ipilimumab, Nivolumab, and Ciforadenant (Adenosine A2a Receptor Antagonist) in First-line Advanced Renal Cell Carcinoma.",,"Not yet recruiting","No Results Available","Renal Cell Carcinoma","Drug: Ipilimumab|Drug: Nivolumab|Drug: Ciforadenant","To establish the objective response rate (ORR)","M.D. Anderson Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2022-0093|NCI-2022-06736","February 28, 2023","November 1, 2026","November 1, 2026","August 15, 2022",,"August 15, 2022","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT05501054"
62,"NCT05501041","Measuring Symptom Relief After Radiofrequency Ablation of the Thyroid",,"Enrolling by invitation","No Results Available","Thyroid",,"Change in symptoms before and after ablation","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","22-007581","August 22, 2022","August 22, 2025","December 30, 2025","August 15, 2022",,"August 15, 2022","Mayo Clinic Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT05501041"
63,"NCT05501028","NLP to Aid in the Evaluation and Diagnosis of FGIDs",,"Enrolling by invitation","No Results Available","Functional Gastrointestinal Disorders",,"Latent themes present in patient descriptions of FGIDs symptoms","Massachusetts General Hospital|Massachusetts Institute of Technology","All","18 Years and older   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018P001542","August 9, 2018","June 1, 2023","June 1, 2023","August 15, 2022",,"August 15, 2022","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT05501028"
64,"NCT05501015","Functional Oral-Pharyngeal Rehabilitation of Patients With Dysphagia Using Ice-chips, a Prospective Randomized Study",,"Recruiting","No Results Available","Post Extubation Dysphagia","Other: Ice chips","Rehabilitating dysphagia","Atlantic Health System","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","1795792-2","May 2, 2022","October 31, 2023","October 31, 2023","August 15, 2022",,"August 15, 2022","Morristown Medical Center, Morristown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT05501015"
65,"NCT05501002","[Trial of device that is not approved or cleared by the U.S. FDA]",,"Withheld","No Results Available",,,,"[Redacted]",,,,,,,,"CLIN-0029",,,,"August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501002"
66,"NCT05500989","PlacEntal Acute Atherosis RefLecting Subclinical Atherosclerosis","PEARLS","Recruiting","No Results Available","Pre-Eclampsia|HELLP Syndrome|Intrauterine Growth Restriction|Pregnancy","Other: Venapuncture","Relationship between placental acute atherosis and subclinical coronary atherosclerosis at 1 year postpartum|Relationship between placental acute atherosis and subclinical coronary atherosclerosis at 15 years postpartum|Relationship between decidual vasculopathy and subclinical coronary atherosclerosis at 1 year postpartum|Relationship between placental decidual vasculopathy and subclinical coronary atherosclerosis at 15 years postpartum|Relationship between placental acute atherosis and clinical coronary atherosclerosis at 1 year postpartum|Relationship between placental acute atherosis and clinical coronary atherosclerosis at 15 years postpartum|Relationship between placental decidual vasculopathy and clinical coronary atherosclerosis at 1 year postpartum|Relationship between placental decidual vasculopathy and clinical coronary atherosclerosis at 15 years postpartum|Incidence of placental acute atherosis at 1 year postpartum|Incidence of placental acute atherosis at 15 years postpartum|Incidence of placental decidual vasculopathy at 1 year postpartum|Incidence of placental decidual vasculopathy at 15 years postpartum|Incidence of subclinical coronary atherosclerosis at 1 year postpartum|Incidence of subclinical coronary atherosclerosis at 15 years postpartum|Incidence of clinical coronary atherosclerosis at 1 year postpartum|Incidence of clinical coronary atherosclerosis at 15 years postpartum","Maastricht University Medical Center","Female","18 Years and older   (Adult, Older Adult)",,"534","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Modified NL52556.068.15|METC 152019","November 2016","October 2024","October 2024","August 15, 2022",,"August 15, 2022","Maastricht University Medical Center (MUMC+), Maastricht, Netherlands",,"https://ClinicalTrials.gov/show/NCT05500989"
67,"NCT05500976","Metabolomics Initiative: Mediterranean-amplified vs Habitual Western Diet on Food Signatures, Health, and Microbiome","Mini-MED","Not yet recruiting","No Results Available","Dietary Habits","Other: Semi-controlled dietary intervention","Foodomics|Cardiometabolic Health - IL-6|Cardiometabolic Health - TNF-alpha|Cardiometabolic Health - C-reactive protein|Cardiometabolic Health - alpha-1-acid glycoprotein|Cardiometabolic Health - Total Cholesterol|Cardiometabolic Health - LDL Cholesterol|Cardiometabolic Health - HDL Cholesterol|Cardiometabolic Health - Triglycerides|Cardiometabolic Health - Blood Pressure|Cardiometabolic Health - Insulin|Cardiometabolic Health - Glucose|Cardiometabolic Health - Adipokines|Gut Microbiota","University of Colorado, Denver|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Cattlemen's Beef Association|Purdue University","All","30 Years to 69 Years   (Adult, Older Adult)","Not Applicable","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","21-4563|R01DK113957|2070","August 15, 2022","March 31, 2023","December 31, 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500976"
68,"NCT05500963","Reducing Fatigue in People With Multiple Sclerosis by Treatment With TENS",,"Not yet recruiting","No Results Available","Multiple Sclerosis","Device: Transcutaneous electrical nerve stimulation","Fatigue|Walking limitations|Walking endurance|Mobility|Quality of life questionnaire|Muscle strength","University of Colorado, Boulder","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","22-0394","April 2023","March 2027","March 2028","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500963"
69,"NCT05500950","Color Doppler Ultrasound in Lacrimal Sac Space-occupying Lesions",,"Completed","No Results Available","Dacryocystitis; Chronic|Lacrimal Sac Space-occupying Lesions|Color Doppler Ultrasound|Computed Tomography","Other: CDU and CT-DCG or CT examination","Morphological changes of color Doppler ultrasound in lacrimal sac space-occupying lesions|Morphological changes of CT or CT-DCG in lacrimal sac space-occupying lesions","Wenzhou Medical University","All","10 Years and older   (Child, Adult, Older Adult)",,"21","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CDU in lacrimal sac","January 1, 2018","April 30, 2022","April 30, 2022","August 15, 2022",,"August 15, 2022","Eye Hospital and School of Ophthalmology and Optometry,Wenzhou Medical University, Wenzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT05500950"
70,"NCT05500937","Effect of UDCA on the New Onset Diabetes and Glucose Intolerance Induced by Statin",,"Recruiting","No Results Available","Diabetes Mellitus","Drug: UDCA","Changes of HbA1c|Concentration of blood lipid|Concentration of fasting blood glucose|Concentration of fasting islets|Concentration of bile acids|Rate of MACE","First Affiliated Hospital Xi'an Jiaotong University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","XJTU1AF2018LSK-92","March 1, 2021","December 31, 2023","December 31, 2024","August 15, 2022",,"August 15, 2022","First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shanxi, China",,"https://ClinicalTrials.gov/show/NCT05500937"
71,"NCT05500924","Effects of Ankle Mobilization on Body Structure, Function, Activities and Participation of Children With Cerebral Palsy",,"Recruiting","No Results Available","Diplegic Cerebral Palsy With Spasticity","Other: Intervention group","Change of Ankle Range of Motion|Change in the Six minutes walking test: The six-minute walk test (6MWT) measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface|Change inTime up and go (TUG) test: The TUG test is a reliable and responsive measure of balance and mobility for children with CP|Change in the Pediatric Quality of Life: it is measured by measure by CP-specific questionnaire. We will use The Arabic-CP-QOL-questionnaire|Change in the Gross Motor Function Measure (GMFM) scale which is designed to measure changes in gross motor function over time or with intervention in children with cerebral palsy.","Eastern Mediterranean University","All","4 Years to 14 Years   (Child)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ETK00-2022-0160","July 30, 2022","February 2023","February 2023","August 15, 2022",,"August 15, 2022","Palestine Ahliya university, Bethlehem, Palestinian Territory, occupied",,"https://ClinicalTrials.gov/show/NCT05500924"
72,"NCT05500911","Bioactive Surfaces vs. Conventional Surfaces in Implants Placed in Atrophic Maxilla With Simultaneous Sinus Lift",,"Recruiting","No Results Available","Edentulous; Alveolar Process, Atrophy|Edentulous Alveolar Ridge Atrophy","Procedure: sinus lift|Procedure: implant placement","Marginal bone loss|Implant stability|insertion torque curve|Apical Bone regeneration|Evaluation the effects of bioactive implant surface (NINA- MultiNeO NH) in Apical Bone regeneration performed under the schneiderian membrane lining the maxillary sinus. Apical Bone regeneration defines the osseoinductive potential of a surface.","Studio Odontoiatrico Associato Dr. P. Cicchese e L. Canullo","All","30 Years to 80 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABT2","April 22, 2022","February 1, 2024","February 1, 2024","August 15, 2022",,"August 15, 2022","Studio Odont.Associato Dr.P.Cicchese E L.Canullo, Rome, Italy/Rome, Italy",,"https://ClinicalTrials.gov/show/NCT05500911"
73,"NCT05500898","Drug-Drug Interaction of DWP16001 in Combination With DWC202204 and DWC202205 in Healthy Male Adults",,"Not yet recruiting","No Results Available","Healthy","Drug: DWP16001|Drug: DWC202204+DWC202205|Drug: DWP16001+DWC202204+DWC202205","Cmax,ss of DWP16001|AUCtau,ss of DWP16001|Cmax,ss of DWC202204 and DWC202205|AUCtau,ss of DWC202204 and DWC202205","Daewoong Pharmaceutical Co. LTD.","Male","19 Years and older   (Adult, Older Adult)","Phase 1","53","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DW_DWP16001108","August 26, 2022","October 31, 2022","February 28, 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500898"
74,"NCT05500885","The Clinical Effectiveness of Pulse Electromagnetic Field Therapy in the Management of General Foot and Ankle Comorbidities",,"Not yet recruiting","No Results Available","Hallux Valgus and Bunion|Ankle Sprains","Device: PEMF device, Quantum Tx, Singapore|Other: Standard rehabilitation for CAI/Ankle Sprain|Other: Foot exercise for Hallux Valgus|Device: SHAM PEMF device, Quantum Tx, Singapore","Chronic Ankle Instability tool test for chronic ankle instability and ankle sprain|Visual analog scale test for chronic ankle instability and ankle sprain|The Manchester-Oxford Foot Questionnaire (MOxFQ) for Hallux Valgus|Visual analog scale test for Hallux Valgus|Y balance test for chronic ankle instability and ankle sprain|Single leg stance/foot lift test for chronic ankle instability and ankle sprain|Dorsiflexion Range of motion for chronic ankle instability and ankle sprain|Foot muscle strength for chronic ankle instability, ankle sprain and Hallux Valgus patients|Ultrasound imaging for ligament quality and intrinsic muscle among chronic ankle instability, ankle sprain and Hallux Valgus patients|Static balance for hallux valgus patients|Single leg heel raise test for hallux valgus patients|Timed Up and go test for Hallux Valgus patients|Serum evaluation for inflammation markers for Hallux Valgus patients|Short Form 36 questionnaire (SF-36) for CAI, Ankle sprain and Hallux Valgus patients|Foot and ankle outcome questionnaire for CAI, Ankle sprain and Hallux Valgus patients|X ray imaging for Hallux Valgus patients|Hallux range of motion","Chinese University of Hong Kong","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2022.263-T","September 2022","August 2025","August 2025","August 15, 2022",,"August 15, 2022","Prince of Wales Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT05500885"
75,"NCT05500872","Blood Flow Restriction After Anterior Cruciate Ligament Reconstruction (ACLR)","ACLR","Not yet recruiting","No Results Available","Anterior Cruciate Ligament Rupture|Quadriceps Muscle Atrophy","Other: Cross-education and blood flow restriction training|Other: Cross-education","Change from Baseline Muscle Strength at 12th week|Change from Baseline Muscle Thickness at 12th week|Change from Baseline Knee Function at 12th week","Hacettepe University","All","18 Years to 45 Years   (Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","KA-19118","August 30, 2022","March 1, 2023","May 1, 2023","August 15, 2022",,"August 15, 2022","Hacettepe University, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT05500872"
76,"NCT05500859","Swiss Secondary Prevention and Rehabilitation Registry","SwissPR","Recruiting","No Results Available","Cardiovascular Diseases (CVD)","Other: Data collection at Baseline, 3 months after baseline (BL), 1-year follow-up, Telephone follow-up and questionnaire 3 years and 5 years after BL","Change in Guideline recommended medical therapy|Change in predefined secondary prevention benchmark performance measures (BPM) at one year after CR: LDL-Cholesterol target value|Change in predefined secondary prevention benchmark performance measures (BPM) at one year after CR: blood-pressure (systolic and diastolic)|Change in smoking status|Change in predefined secondary prevention benchmark performance measures (BPM) at one year after CR: exercise/ week|Percentage of patients reaching the predefined secondary prevention benchmark after CR|Change in physical activity|Change in medical therapy between visits|Change in quality of life questionnaire/ score between visits|Change in Thrombolysis in Myocardial Infarction Risk Score for Secondary Prevention (TRS 2P) between visits|Change in total mortality after 1, 3 and 5 years|Change in total MACE after 1, 3 and 5 years","University Hospital, Basel, Switzerland","All","Child, Adult, Older Adult",,"4000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2019-02057; me19Pfister","December 20, 2019","December 2035","December 2035","August 15, 2022",,"August 15, 2022","University Hospital Basel, Division of Outpatient Cardiology, Basel, Switzerland",,"https://ClinicalTrials.gov/show/NCT05500859"
77,"NCT05500846","Targeted Cryoablation of Prostate Cancer Lesions: An Investigator-initiated Trial","PROCRY","Recruiting","No Results Available","Prostate Cancer","Device: The Visual Ice Cryoablation System","Combination of the responses in PSA, MRI, and Prostate biopsy","Osamu Ukimura|Kyoto Prefectural University of Medicine","Male","20 Years to 85 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CTREC-URO-181202|jRCT2052210088","October 19, 2021","February 29, 2024","December 31, 2024","August 15, 2022",,"August 15, 2022","University Hospital, Kyoto Prefectural University of Medicine, Kyoto, Japan|Kyoto Miniren Chuo Hospital, Kyoto, Japan",,"https://ClinicalTrials.gov/show/NCT05500846"
78,"NCT05500833","Multidimensional Characterization of Dyspnea in Children","DYSPED","Not yet recruiting","No Results Available","Study Focus on Patients Aged Between 6-17 Years, Experiencing Dyspnea and Presenting With Acute Respiratory Insufficiency or Chronic Respiratory Insufficiency","Other: Multidimentional observation scale (MDP)","Validate the Multidimensional Dyspnea Profale (MDP) self-evaluation scale in children aged between 12 and 17 years presenting with acute or chronic dyspnea.|Validate the Respiratory Distress Observation Scale (RDOS) hetero-evaluation scale in patients aged between 12-17 years presenting with acute dyspnea.|Provide a multidimensional description of dyspnea using the MDP scale in children aged 12-17 y/o.|Study the correlation between MDP and RDOS scores and Dyspnea-visual analogue scale (VAS).|Validate the use of a simplified MDP in children aged between 6-11 y/o presenting with acute or chronic dyspnea.|Provide a multidimensional description of dyspnea in children aged between 6-11 y/o.|Study the correlation between the simplified MDP and the dyspnea-VAS.|Study the association between dyspnea scores and different clinical features, the use of treatments and results of explorations|Study the impact of dyspnea on quality of life using the PedSQL scale in children presenting with chronic dyspnea and their families.|Study the correlation between dyspnea scores in children and their parents' anxity scores using the STAI-Y questionnaire.","Assistance Publique - Hôpitaux de Paris","All","6 Years to 17 Years   (Child)",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","APHP220874","October 1, 2022","October 1, 2025","October 1, 2025","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500833"
